timestep,demand_el,demand_th,water,biomass,pv,wind,nuc,lig,coal
73,217863.2916319,1,1,1,0,0.97775,1,1,1
74,207418.7397092,1,1,1,0,0.9796,1,1,1
75,201935.6961014,1,1,1,0,0.98278,1,1,1
76,199406.4806999,1,1,1,0,0.98391,1,1,1
77,201095.7012053,1,1,1,0,0.98546,1,1,1
78,205706.4424209,1,1,1,0,0.98765,1,1,1
79,222427.8792818,1,1,1,0,0.99015,1,1,1
80,247180.0365783,1,1,1,0,0.99225,1,1,1
81,262415.3286229,1,1,1,0,0.99371,1,1,1
82,271932.1938747,1,1,1,0.01319,0.9935,1,1,1
83,278416.7698586,1,1,1,0.039835,0.99284,1,1,1
84,283821.3524046,1,1,1,0.047415,0.9932,1,1,1
85,285838.2632266,1,1,1,0.038888,0.9939,1,1,1
86,282782.8971759,1,1,1,0.031488,0.9946,1,1,1
87,279990.6064497,1,1,1,0.01869,0.99482,1,1,1
88,278126.0023946,1,1,1,0.0044696,0.99465,1,1,1
89,283147.5103451,1,1,1,0,0.99386,1,1,1
90,300847.4027993,1,1,1,0,0.99291,1,1,1
91,299767.4093614,1,1,1,0,0.99168,1,1,1
92,294953.5924566,1,1,1,0,0.98756,1,1,1
93,281296.7523596,1,1,1,0,0.97564,1,1,1
94,273252.1858544,1,1,1,0,0.95063,1,1,1
95,269292.2099155,1,1,1,0,0.89537,1,1,1
96,256387.6729397,1,1,1,0,0.77284,1,1,1
97,245984.6592261,1,1,1,0,0.68626,1,1,1
98,236135.4883011,1,1,1,0,0.58396,1,1,1
99,229480.1441241,1,1,1,0,0.45925,1,1,1
100,225792.4742229,1,1,1,0,0.41573,1,1,1
101,227089.3894197,1,1,1,0,0.39466,1,1,1
102,233721.6568139,1,1,1,0,0.44267,1,1,1
103,252852.3098054,1,1,1,0,0.5154,1,1,1
104,281499.8280488,1,1,1,0,0.55825,1,1,1
105,295244.3599207,1,1,1,0,0.59368,1,1,1
106,298996.6448138,1,1,1,0.038505,0.56689,1,1,1
107,301895.0887412,1,1,1,0.10504,0.52071,1,1,1
108,305864.2953932,1,1,1,0.12442,0.53577,1,1,1
109,306865.8277694,1,1,1,0.10471,0.54674,1,1,1
110,305222.7608297,1,1,1,0.085151,0.56219,1,1,1
111,301142.7856199,1,1,1,0.052307,0.59634,1,1,1
112,298585.8780789,1,1,1,0.016081,0.60329,1,1,1
113,301673.5516257,1,1,1,0,0.61437,1,1,1
114,315150.3928164,1,1,1,0,0.67381,1,1,1
115,318348.8349209,1,1,1,0,0.74123,1,1,1
116,313221.1737692,1,1,1,0,0.82476,1,1,1
117,299015.1062401,1,1,1,0,0.89963,1,1,1
118,285884.4167923,1,1,1,0,0.94793,1,1,1
119,280784.4477801,1,1,1,0,0.96764,1,1,1
120,262627.6350253,1,1,1,0,0.97588,1,1,1
121,249206.1781134,1,1,1,0,0.97923,1,1,1
122,239144.7007861,1,1,1,0,0.96818,1,1,1
123,232249.3580674,1,1,1,0,0.96364,1,1,1
124,228247.8439193,1,1,1,0,0.96655,1,1,1
125,228732.4563594,1,1,1,0,0.95912,1,1,1
126,233227.8136606,1,1,1,0,0.9409,1,1,1
127,249533.8684301,1,1,1,0,0.90182,1,1,1
128,274466.0246328,1,1,1,0,0.84907,1,1,1
129,285898.2628621,1,1,1,0,0.77243,1,1,1
130,289996.6994981,1,1,1,0.065084,0.69315,1,1,1
131,294847.4392555,1,1,1,0.17832,0.64418,1,1,1
132,299712.0250825,1,1,1,0.22241,0.65718,1,1,1
133,299970.4850506,1,1,1,0.20579,0.71166,1,1,1
134,295973.5862591,1,1,1,0.16543,0.741,1,1,1
135,291344.3836172,1,1,1,0.10124,0.78431,1,1,1
136,289456.7027792,1,1,1,0.033614,0.84363,1,1,1
137,292567.4531088,1,1,1,0,0.89667,1,1,1
138,307031.980606,1,1,1,0,0.94979,1,1,1
139,312219.6413931,1,1,1,0,0.97085,1,1,1
140,306639.6752973,1,1,1,0,0.9807,1,1,1
141,292188.9938699,1,1,1,0,0.98644,1,1,1
142,282561.3600604,1,1,1,0,0.99008,1,1,1
143,279565.9936451,1,1,1,0,0.99254,1,1,1
144,263587.6291923,1,1,1,0,0.99346,1,1,1
145,249510.7916472,1,1,1,0,0.99428,1,1,1
146,238558.5505015,1,1,1,0,0.99534,1,1,1
147,232106.2820136,1,1,1,0,0.9965,1,1,1
148,228478.6117479,1,1,1,0,0.99709,1,1,1
149,230952.4428706,1,1,1,0,0.99769,1,1,1
150,241156.9962516,1,1,1,0,0.99813,1,1,1
151,266139.9213767,1,1,1,0,0.99826,1,1,1
152,297625.8839119,1,1,1,0,0.99818,1,1,1
