timestep,demand_el,biomass,brown_lig,coal_derived_gas,fossil_gas,fossil_hardcoal,fossil_oil,fossil_oil_shale,fossil_peat,geothermal,hydro_pumped_storage,run_of_river,hydro_water_reservoir,marine,nuclear,other ,other_renewable,solar,waste,wind_offshore
98,236135.4883011,4496,14454,568,1178,3483,198,n/e,n/e,11,72,967,25,n/e,10634,1883,95,0,262,1618
99,229480.1441241,4507,14136,564,1176,3349,199,n/e,n/e,11,38,966,17,n/e,10625,1984,95,0,264,1695
100,225792.4742229,4510,13673,563,1164,3269,199,n/e,n/e,11,111,967,22,n/e,10582,2176,95,0,273,1825
101,227089.3894197,4519,13466,565,1166,2949,199,n/e,n/e,11,105,968,72,n/e,10614,2258,95,0,273,1968
102,233721.6568139,4520,13394,560,1175,2556,199,n/e,n/e,11,0,968,33,n/e,10655,2329,95,0,273,2123
103,252852.3098054,4541,13289,560,1184,2584,199,n/e,n/e,11,0,972,23,n/e,10676,2312,95,0,269,2189
104,281499.8280488,4537,12926,562,1179,2592,198,n/e,n/e,11,0,975,19,n/e,10661,2204,95,0,271,2361
105,295244.3599207,4529,12213,557,1135,2588,199,n/e,n/e,11,0,972,33,n/e,10608,2219,95,0,275,2433
106,298996.6448138,4527,11982,542,1060,2602,200,n/e,n/e,11,0,971,18,n/e,10466,2452,95,0,275,2485
107,301895.0887412,4529,11765,531,990,2597,198,n/e,n/e,11,9,969,23,n/e,10456,2249,95,0,282,2532
108,305864.2953932,4527,11509,532,971,2602,198,n/e,n/e,11,0,966,23,n/e,10379,2221,95,0,284,2589
109,306865.8277694,4495,10721,529,942,2541,198,n/e,n/e,11,3,961,39,n/e,10247,2402,95,0,275,2672
110,305222.7608297,4495,10284,531,913,2512,198,n/e,n/e,11,0,962,22,n/e,10227,2418,95,0,274,2719
111,301142.7856199,4507,10159,531,908,2507,197,n/e,n/e,11,61,965,21,n/e,10254,2358,95,0,270,2751
112,298585.8780789,4508,10104,531,907,2493,197,n/e,n/e,11,0,966,33,n/e,10361,2438,95,0,269,2771
113,301673.5516257,4504,9911,533,902,2483,197,n/e,n/e,11,0,969,49,n/e,10363,2312,95,0,269,2778
114,315150.3928164,4506,9818,529,898,2482,197,n/e,n/e,11,0,971,44,n/e,10288,2106,95,0,269,2779
115,318348.8349209,4497,9782,530,828,2472,197,n/e,n/e,11,0,971,49,n/e,10298,2021,95,0,276,2784
116,313221.1737692,4507,9797,525,873,2459,197,n/e,n/e,11,0,971,52,n/e,10356,2031,95,0,279,2788
117,299015.1062401,4511,9969,534,886,2473,197,n/e,n/e,11,0,970,24,n/e,10355,2217,95,0,278,2800
118,285884.4167923,4518,9972,536,891,2490,198,n/e,n/e,11,0,971,24,n/e,10314,1937,95,0,280,2812
119,280784.4477801,4517,10028,526,876,2510,197,n/e,n/e,11,94,971,81,n/e,10197,2216,95,0,280,2816
120,262627.6350253,4515,10117,532,871,2520,197,n/e,n/e,11,0,969,115,n/e,10166,2185,95,0,286,2812
121,249206.1781134,4506,9917,530,853,2518,198,n/e,n/e,11,0,966,46,n/e,10080,2245,95,0,279,2817
122,239144.7007861,4506,9797,526,859,2533,196,n/e,n/e,11,0,966,29,n/e,10042,2334,95,0,271,2818
123,232249.3580674,4509,9788,523,868,2537,195,n/e,n/e,11,0,967,32,n/e,10057,2324,95,0,276,2804
124,228247.8439193,4507,9886,529,865,2542,194,n/e,n/e,11,0,968,37,n/e,10060,2297,95,0,267,2809
125,228732.4563594,4497,10362,518,870,2550,194,n/e,n/e,11,0,966,74,n/e,10234,2405,95,0,272,2806
126,233227.8136606,4500,10474,520,863,2549,194,n/e,n/e,11,0,969,125,n/e,10348,2316,95,0,275,2798
127,249533.8684301,4500,10450,511,923,2561,194,n/e,n/e,11,120,967,62,n/e,10453,2550,95,0,272,2798
128,274466.0246328,4500,10432,514,1012,2619,193,n/e,n/e,11,21,964,55,n/e,10453,2814,95,0,273,2797
129,285898.2628621,4522,10498,534,1062,2628,192,n/e,n/e,11,423,966,68,n/e,10567,2874,95,6,279,2801
130,289996.6994981,4529,10733,550,1079,2674,192,n/e,n/e,11,412,1014,88,n/e,10511,2915,95,34,276,2804
131,294847.4392555,4527,11261,562,1104,2737,192,n/e,n/e,11,367,1015,87,n/e,10472,2610,95,126,269,2806
132,299712.0250825,4525,12070,566,1123,2784,192,n/e,n/e,11,528,1019,72,n/e,10434,2573,95,259,269,2809
133,299970.4850506,4525,12966,562,1148,2872,192,n/e,n/e,11,320,1013,32,n/e,10419,2868,95,383,274,2801
134,295973.5862591,4518,13603,559,1151,2856,192,n/e,n/e,11,484,1016,59,n/e,10432,2883,95,518,269,2797
135,291344.3836172,4485,14012,560,1175,2884,192,n/e,n/e,11,696,1006,62,n/e,10449,2922,95,633,270,2787
136,289456.7027792,4490,14191,568,1173,2887,192,n/e,n/e,11,511,1008,64,n/e,10466,2582,95,837,270,2777
137,292567.4531088,4493,14112,561,1171,2903,192,n/e,n/e,11,707,1003,49,n/e,10353,2905,95,1043,269,2774
138,307031.980606,4502,14009,553,1177,2881,192,n/e,n/e,11,765,1010,92,n/e,10349,2904,95,1258,264,2773
139,312219.6413931,4517,13991,553,1191,2958,192,n/e,n/e,11,644,1019,94,n/e,10342,2706,95,1451,261,2771
140,306639.6752973,4526,13977,551,1180,3062,192,n/e,n/e,11,458,1016,68,n/e,10335,2834,95,1613,261,2767
141,292188.9938699,4526,13952,560,1177,3216,192,n/e,n/e,11,479,1013,48,n/e,10315,2859,95,1729,260,2766
142,282561.3600604,4526,13884,563,1181,3202,192,n/e,n/e,11,771,1015,99,n/e,10304,2812,95,1840,259,2770
143,279565.9936451,4526,13889,561,1186,3239,192,n/e,n/e,11,1099,1016,52,n/e,10412,2936,95,1911,265,2766
144,263587.6291923,4525,13879,556,1158,3299,191,n/e,n/e,11,868,1021,50,n/e,10421,2998,95,1982,276,2766
145,249510.7916472,4523,13692,554,1133,3404,190,n/e,n/e,11,734,1018,30,n/e,10440,2933,95,1973,277,2766
146,238558.5505015,4529,13637,556,1140,3491,190,n/e,n/e,11,484,1013,78,n/e,10450,3017,95,2045,281,2766
147,232106.2820136,4526,13649,553,1150,3469,193,n/e,n/e,11,548,1010,154,n/e,10388,3160,95,2103,274,2766
148,228478.6117479,4525,13580,551,1145,3396,192,n/e,n/e,11,624,1007,145,n/e,10371,3099,95,2051,282,2764
149,230952.4428706,4512,13447,551,1126,3385,192,n/e,n/e,11,751,1011,81,n/e,10455,3222,95,1978,272,2762
150,241156.9962516,4510,13425,552,1123,3375,192,n/e,n/e,11,435,1012,50,n/e,10383,3363,95,1927,268,2757
151,266139.9213767,4517,13398,555,1136,3380,192,n/e,n/e,11,545,1016,107,n/e,10415,3122,95,1866,268,2754
152,297625.8839119,4516,13397,556,1130,3374,192,n/e,n/e,11,448,1015,37,n/e,10437,3224,95,1703,269,2751
153,307655.0537432,4512,13299,560,1134,3351,192,n/e,n/e,11,341,1012,97,n/e,10312,2650,95,1542,266,2755
154,308287.3575936,4511,13304,556,1134,3301,192,n/e,n/e,11,763,1020,141,n/e,10276,2511,95,1312,269,2760
155,310562.7283837,4513,13280,555,1146,3257,192,n/e,n/e,11,781,1022,99,n/e,10284,2534,95,1047,277,2763
156,313235.0198389,4508,13256,558,1139,3245,192,n/e,n/e,11,504,1017,21,n/e,10271,2639,95,808,276,2765
157,312976.5598709,4494,13274,550,1134,3202,192,n/e,n/e,11,246,1013,6,n/e,10281,2964,95,624,262,2770
158,310087.3466567,4497,13210,553,1127,3217,192,n/e,n/e,11,309,1017,5,n/e,10283,2817,95,459,258,2766
159,306081.2171521,4503,13201,537,1136,3209,192,n/e,n/e,11,653,1016,6,n/e,10289,2749,95,290,252,2770
160,304941.2240788,4506,13204,533,1137,3231,192,n/e,n/e,11,463,1014,4,n/e,10289,2876,95,154,258,2771
161,305795.0650446,4524,13227,549,1146,3267,192,n/e,n/e,11,251,1011,6,n/e,10274,3188,95,68,253,2766
162,320905.7424619,4527,13256,557,1155,3314,191,n/e,n/e,11,440,1020,20,n/e,10286,3197,95,27,258,2757
163,324574.9509367,4523,13278,554,1167,3367,191,n/e,n/e,11,765,1028,89,n/e,10288,3356,95,11,258,2736
164,320148.823984,4525,13259,553,1183,3604,192,n/e,n/e,11,1617,1019,71,n/e,10303,3173,95,3,268,2733
165,306182.7549967,4521,13115,553,1227,3646,192,n/e,n/e,11,771,991,22,n/e,10414,3452,95,0,258,2729
166,294173.5971959,4526,13101,555,1241,3740,192,n/e,n/e,11,1154,981,31,n/e,10453,3416,95,0,269,2732
167,286858.2570291,4529,13121,556,1232,3720,192,n/e,n/e,11,2244,982,85,n/e,10460,3406,95,0,258,2726
168,269818.3605647,4521,13152,550,1195,3612,192,n/e,n/e,11,1506,982,122,n/e,10461,3647,95,0,259,2734
169,255418.4480596,4514,13364,545,1194,3406,192,n/e,n/e,11,1952,982,94,n/e,10332,3692,95,0,257,2739
170,245320.0478797,4519,13400,548,1204,3431,192,n/e,n/e,11,2804,986,76,n/e,10346,3586,95,0,265,2732
171,238083.1687746,4526,13410,552,1219,3413,192,n/e,n/e,11,2311,989,45,n/e,10363,3555,95,0,276,2724
172,233121.6604595,4536,13407,541,1213,3372,192,n/e,n/e,11,2102,990,19,n/e,10274,3513,95,0,279,2709
173,234907.8034529,4540,13414,534,1209,3363,192,n/e,n/e,11,2152,989,43,n/e,10274,3937,95,0,275,2719
174,243616.9813046,4545,13465,529,1209,3229,192,n/e,n/e,11,3024,986,74,n/e,10265,3121,95,0,268,2728
175,265604.5400143,4539,13463,513,1215,3167,192,n/e,n/e,11,2900,984,38,n/e,10262,2690,95,0,270,2722
176,295710.5109345,4520,13438,527,1202,3175,192,n/e,n/e,11,2060,982,10,n/e,10316,2721,95,0,269,2733
177,306058.1403692,4511,13397,543,1204,3230,192,n/e,n/e,11,3061,983,65,n/e,10375,2396,95,0,277,2720
178,308236.5886713,4512,13287,560,1199,3149,192,n/e,n/e,11,2112,984,19,n/e,10339,2344,95,0,277,2728
179,311079.6483197,4522,13283,549,1192,3254,192,n/e,n/e,11,1033,988,60,n/e,10339,2508,95,0,269,2739
180,313968.8615339,4518,13266,548,1182,3282,192,n/e,n/e,11,349,989,82,n/e,10325,2457,95,0,267,2733
181,314162.7065099,4508,13326,561,1184,3261,192,n/e,n/e,11,1066,992,18,n/e,10362,2157,95,0,266,2735
182,308250.434741,4506,13341,562,1184,3244,192,n/e,n/e,11,891,995,14,n/e,10318,2169,95,0,266,2728
183,303436.6178362,4501,13364,557,1183,3258,192,n/e,n/e,11,369,998,15,n/e,10324,2394,95,0,269,2716
184,300302.7907238,4502,13466,559,1163,3255,192,n/e,n/e,11,197,1000,10,n/e,10318,2454,95,0,269,2718
185,303062.7739539,4498,13909,567,1163,3310,192,n/e,n/e,11,2198,1009,92,n/e,10358,2252,95,0,269,2718
186,318958.0619884,4500,13985,563,1172,3301,192,n/e,n/e,11,1845,1016,78,n/e,10323,2205,95,0,270,2710
187,321094.9720813,4510,13975,558,1172,3193,192,n/e,n/e,11,1126,1021,16,n/e,10346,2058,95,0,269,2724
188,313041.1748629,4510,13988,553,1163,3036,192,n/e,n/e,11,648,1022,10,n/e,10317,1960,95,0,270,2724
189,296398.1990637,4508,14052,549,1162,2595,192,n/e,n/e,11,529,1025,14,n/e,10323,2037,95,0,269,2720
190,286082.877125,4510,13999,552,1170,2338,192,n/e,n/e,11,300,1029,11,n/e,10358,1864,95,0,277,2721
191,283433.6624525,4508,13972,553,1168,2256,192,n/e,n/e,11,149,1032,29,n/e,10384,1631,95,0,275,2720
192,270256.819439,4509,13505,552,1153,2178,192,n/e,n/e,11,0,1033,60,n/e,10389,1557,95,0,269,2723
193,260107.6503369,4517,12495,538,1117,2046,192,n/e,n/e,11,84,1026,94,n/e,10516,1370,95,0,277,2716
194,250876.9371926,4525,11637,520,1092,1670,192,n/e,n/e,11,33,1023,42,n/e,10492,1791,95,0,270,2715
195,244406.2072784,4526,11069,519,1095,1656,192,n/e,n/e,11,43,1019,21,n/e,10475,1751,95,0,277,2711
196,239283.1614833,4523,10691,529,1089,1623,192,n/e,n/e,11,156,1018,8,n/e,10478,1872,95,0,270,2705
197,237243.1738784,4517,10517,537,1090,1637,192,n/e,n/e,11,18,1014,81,n/e,10536,2070,95,0,268,2706
198,235244.7244827,4513,10546,551,1093,1680,192,n/e,n/e,11,0,1013,22,n/e,10516,2214,95,0,269,2704
199,232637.0480194,4510,10538,543,1105,1711,192,n/e,n/e,11,0,1009,13,n/e,10517,1949,95,0,265,2694
200,242656.9871376,4504,10499,548,1103,1697,192,n/e,n/e,11,0,1010,10,n/e,10502,1702,95,0,267,2681
201,256646.1329078,4458,10535,545,1091,1704,192,n/e,n/e,11,18,1003,18,n/e,10513,1848,95,0,267,2675
202,270976.8150643,4455,10531,546,1096,1705,192,n/e,n/e,11,25,1001,32,n/e,10507,1901,95,0,259,2679
203,280678.294579,4453,10504,551,1099,1706,192,n/e,n/e,11,0,1000,14,n/e,10483,1777,95,0,265,2685
204,287061.3327182,4458,10427,551,1088,1692,192,n/e,n/e,11,28,999,21,n/e,10486,1867,95,0,270,2686
205,288930.55213,4434,10420,553,1080,1692,192,n/e,n/e,11,28,997,45,n/e,10490,1893,95,0,259,2687
206,284172.1195041,4436,10404,554,1084,1699,192,n/e,n/e,11,26,999,29,n/e,10509,1943,95,0,258,2685
207,276358.3208274,4437,10347,548,1090,1710,192,n/e,n/e,11,25,1000,21,n/e,10498,1915,95,0,264,2682
208,274096.7961071,4435,10348,549,1087,1701,192,n/e,n/e,11,32,997,30,n/e,10478,1889,95,0,265,2683
209,277978.3109842,4438,10355,551,1081,1690,192,n/e,n/e,11,0,996,39,n/e,10498,1976,95,0,264,2679
210,291856.6881967,4438,10269,549,1063,1680,192,n/e,n/e,11,0,997,52,n/e,10494,1650,95,0,269,2685
211,296762.8122329,4431,10223,543,1070,1683,192,n/e,n/e,11,47,998,59,n/e,10495,1607,95,0,278,2684
212,289281.3192295,4438,10210,539,1065,1687,192,n/e,n/e,11,0,999,57,n/e,10492,1646,95,0,279,2680
213,273852.1822087,4434,10220,540,1059,1699,192,n/e,n/e,11,45,1002,64,n/e,10498,2082,95,0,280,2673
214,266292.2281436,4434,10161,541,1063,1708,192,n/e,n/e,11,0,1002,37,n/e,10498,2307,95,0,272,2676
215,267418.3751472,4437,10155,524,1061,1721,192,n/e,n/e,11,45,998,17,n/e,10503,2334,95,0,272,2671
216,258759.9662178,4434,10105,509,1048,1707,192,n/e,n/e,11,45,996,23,n/e,10470,2324,95,0,271,2669
217,246049.2742181,4430,10079,504,1048,1725,192,n/e,n/e,11,0,995,20,n/e,10346,2349,95,0,276,2664
218,235383.1851798,4432,10130,497,1054,1756,192,n/e,n/e,11,24,991,23,n/e,10477,2506,95,0,278,2666
219,228875.5324131,4431,10066,506,1061,1799,192,n/e,n/e,11,0,989,14,n/e,10498,2772,95,0,268,2670
220,222030.9586166,4428,10044,513,1074,1844,192,n/e,n/e,11,0,987,69,n/e,10492,2549,95,0,271,2668
221,217558.6780982,4467,9943,518,1068,1841,192,n/e,n/e,11,0,992,51,n/e,10346,2397,95,0,272,2668
222,211129.4863932,4494,10035,532,1068,1820,192,n/e,n/e,11,0,994,46,n/e,10472,2411,95,0,272,2669
223,200574.1659127,4503,10046,509,1075,1824,192,n/e,n/e,11,161,994,124,n/e,10498,2413,95,0,269,2667
224,203860.299792,4468,10239,494,1069,1874,192,n/e,n/e,11,111,1053,42,n/e,10500,2302,95,0,268,2673
225,215638.6897642,4468,10914,482,1061,1941,192,n/e,n/e,11,3,1048,7,n/e,10422,2339,95,6,269,2672
